Customer_ID,No_of_orders_placed,Category_of_customers,Maximum_bill,Minimum_bill,Last_order_placed_date,No_of_issues_raised,Customer_rating,Average_food_rating,Average_happiness_rating,Coupon_consumption_status,Coupons_offered,Premium_membership,Discount_percentage
CUS0x573c,184.0,Inactive,1254.43,129.33,06/02/2015 12:02 PM,38,4,3,2,23,229,No,40
CUS0x7cac,134.0,Active,2662.84,328.5,10/15/2020 04:45 PM,31,4,2,4,80,221,No,30
CUS0x9be,230.0,Inactive,3611.0,129.47,,18,4,4,5,159,320,No,45
CUS0x5845,27.0,Active,2191.96,98.22,01/05/2021 10:05 AM,25,2,4,3,27,57,No,46
CUS0x3735,28.0,Active,2556.79,177.59,09/18/2020 07:01 AM,,4,4,3,28,43,Yes,46
CUS0x725e,247.0,Passive,2056.72,287.81,02/19/2019 11:29 PM,29,3,4,4,45,362,No,39
CUS0x72d0,217.0,Active,3008.87,133.21,01/18/2021 03:20 PM,53,4,4,4,156,311,No,45
CUS0x446b,48.0,Active,1608.34,228.06,07/29/2020 12:57 AM,0,3,,4,48,64,Yes,41
CUS0x18a9,206.0,Passive,2636.57,155.93,12/13/2018 02:18 PM,33,4,4,2,52,301,0,40
CUS0xba6,44.0,Passive,1670.93,-99.0,12/26/2019 11:18 AM,44,4,4,4,44,61,0,54
CUS0x44c8,154.0,Passive,871.2,282.38,10/21/2018 01:10 AM,7,,4,4,100,269,No,46
CUS0x1982,170.0,0,1686.83,189.45,12/17/2020 05:30 AM,33,4,4,3,161,243,No,
CUS0x6f82,44.0,Inactive,781.46,108.87,09/17/2016 09:09 PM,44,4,4,4,44,56,No,25
CUS0x4b8e,,Inactive,579.41,224.19,03/15/2016 11:34 PM,55,4,3,5,135,300,No,44
CUS0x3c00,,Passive,3568.5,202.12,06/28/2019 10:09 PM,49,4,5,3,41,237,0,33
CUS0x2f29,37.0,,2150.41,-99.0,08/22/2020 09:23 PM,37,4,2,4,37,51,Yes,
CUS0x359d,79.0,Inactive,1506.72,103.0,05/01/2017 07:35 AM,16,4,4,3,79,111,No,0
CUS0x69a4,35.0,Passive,568.24,117.56,09/25/2019 01:32 AM,27,5,2,3,35,53,Yes,33
CUS0x51ec,82.0,Passive,1623.5,269.0,11/05/2019 02:05 AM,59,3,4,2,73,100,No,29
CUS0x2be4,,Passive,3618.86,131.7,09/15/2018 06:53 AM,18,4,3,4,87,348,No,41
CUS0xb69,,Passive,2529.57,277.0,08/30/2018 06:52 AM,29,4,4,3,35,123,0,30
CUS0x4679,94.0,Inactive,1153.65,-99.0,04/27/2017 01:52 PM,38,,4,4,94,122,No,31
CUS0x3424,209.0,Passive,1636.34,193.94,,16,5,4,5,57,328,Yes,54
CUS0x780c,181.0,Passive,2073.18,149.78,08/10/2018 05:51 AM,9,4,4,4,78,267,Yes,42
CUS0x7893,216.0,Passive,2789.95,92.16,06/07/2019 05:20 AM,32,3,4,4,106,293,No,35
CUS0x2247,8.0,0,3568.23,156.51,,8,4,4,4,8,38,0,34
CUS0x22cf,228.0,Inactive,2874.84,145.36,09/03/2015 12:23 PM,53,,,4,86,317,0,46
CUS0x1156,95.0,Passive,1851.26,81.0,06/07/2019 05:21 AM,8,3,4,5,49,129,No,41
CUS0x2012,250.0,Passive,2812.36,174.46,03/07/2019 12:34 PM,5,2,3,3,69,340,No,20
CUS0x6019,133.0,Inactive,3463.07,107.24,05/10/2017 09:02 PM,4,4,4,5,133,249,No,30
CUS0x2461,109.0,,2334.16,103.87,,13,3,5,4,109,166,No,31
CUS0x4a6d,179.0,Passive,1389.97,109.35,,28,4,4,4,141,278,No,32
CUS0x238b,69.0,,1946.26,288.0,04/24/2019 03:48 AM,38,3,4,4,69,97,No,36
CUS0x63a2,211.0,Active,2022.99,284.12,03/06/2020 02:35 PM,34,3,3,4,151,293,Yes,53
CUS0x11cf,223.0,Passive,2109.76,151.52,07/18/2019 07:22 PM,45,3,4,4,46,336,Yes,0
CUS0x26dd,116.0,Passive,1090.59,190.75,05/04/2018 08:12 AM,17,4,5,4,84,181,No,36
CUS0x570b,183.0,Inactive,1664.83,107.3,07/23/2016 12:32 PM,46,4,4,4,155,244,No,32
CUS0x2f27,112.0,Active,3381.04,-99.0,01/30/2021 04:05 AM,27,4,4,4,,221,0,32
CUS0x4f5b,52.0,Inactive,1191.99,120.0,11/28/2017 05:48 AM,6,4,3,4,52,85,Yes,34
CUS0x1421,62.0,Inactive,2306.43,280.0,,,4,5,3,62,79,No,32
CUS0x178d,187.0,,3036.4,165.74,,53,4,3,4,,242,No,45
CUS0x165b,210.0,Inactive,2002.69,140.92,04/10/2017 08:07 AM,3,4,4,4,49,285,No,31
CUS0x348f,210.0,Active,2626.85,234.78,11/02/2020 04:47 PM,15,,4,4,161,289,No,41
CUS0x6925,166.0,Inactive,2849.23,105.64,08/25/2015 03:24 AM,57,4,4,5,82,256,No,45
CUS0x5e93,158.0,Inactive,1366.74,156.26,10/27/2015 06:04 PM,18,4,4,4,55,246,Yes,44
CUS0x7516,196.0,Inactive,1858.7,231.56,09/11/2016 08:14 PM,57,4,4,3,43,284,No,42
CUS0xdb9,167.0,Passive,1026.15,-99.0,10/16/2018 09:11 AM,23,4,4,3,124,218,No,30
CUS0x2ec0,68.0,Passive,1310.05,-99.0,05/08/2019 03:35 PM,24,,4,2,68,101,No,28
CUS0x5586,88.0,Passive,2545.87,276.0,04/23/2019 06:23 PM,3,3,3,2,43,112,No,33
CUS0x668e,48.0,Passive,2012.9,141.89,01/30/2018 05:48 AM,10,4,4,3,48,59,No,48
CUS0x7ca6,80.0,Active,1087.85,96.0,06/12/2020 04:16 AM,4,4,4,4,43,101,No,41
CUS0x7e2f,10.0,Passive,2360.43,106.99,08/19/2019 03:41 AM,10,4,4,4,10,35,Yes,46
CUS0x447f,181.0,Passive,1332.46,251.4,,46,3,3,2,130,258,No,31
CUS0x6b2c,230.0,Inactive,1516.19,193.59,09/06/2017 03:30 AM,7,3,4,3,91,270,No,31
CUS0x2acf,31.0,Inactive,1240.15,113.61,10/03/2016 08:24 AM,12,5,4,2,31,54,No,27
CUS0x28ed,241.0,Inactive,2873.83,165.27,02/11/2016 08:32 AM,,4,3,4,110,313,No,39
CUS0x41fa,128.0,Inactive,3174.91,192.48,,31,4,4,5,91,225,No,30
CUS0x984,49.0,Active,503.05,197.35,03/28/2020 12:29 PM,49,4,4,4,49,82,0,28
CUS0x603a,187.0,Passive,1684.3,147.21,11/06/2018 02:52 AM,17,4,4,4,50,290,No,37
CUS0x1860,113.0,Active,630.62,101.94,,14,4,4,4,,173,No,48
CUS0x5905,91.0,Passive,2568.39,286.0,11/15/2019 10:47 PM,40,5,4,4,91,102,No,36
CUS0x80d3,87.0,Passive,2124.5,181.0,06/17/2019 12:27 AM,11,4,4,5,87,116,No,37
CUS0x2350,,Inactive,2522.57,229.42,11/13/2016 06:04 AM,48,4,4,4,152,302,No,40
CUS0x4d71,71.0,Passive,557.9,108.0,,42,4,3,4,71,83,No,31
CUS0x4e95,196.0,Inactive,1868.91,292.59,09/22/2017 11:05 AM,13,3,4,3,106,296,No,25
CUS0x3980,206.0,Inactive,502.97,293.75,05/20/2015 06:08 PM,19,2,4,4,134,325,No,45
CUS0x4b3d,187.0,Passive,1248.96,297.78,09/03/2018 11:45 PM,29,4,4,4,22,235,Yes,49
CUS0x62f7,226.0,Inactive,2671.22,271.08,07/02/2015 10:22 PM,43,4,2,3,53,302,Yes,58
CUS0x7f08,60.0,Passive,1390.96,185.0,11/23/2019 03:54 AM,8,4,4,4,44,92,No,37
CUS0x280d,151.0,Passive,937.27,253.77,,42,,4,2,75,255,No,38
CUS0x86e,232.0,Passive,3135.68,-99.0,,55,4,4,4,116,324,No,44
CUS0x7fc8,190.0,Passive,2899.75,204.49,08/15/2018 09:46 PM,36,4,4,4,98,306,No,30
CUS0x486e,145.0,Active,3603.28,223.93,,8,4,4,3,75,232,0,
CUS0x51e9,211.0,Inactive,1189.04,248.87,12/14/2015 05:47 PM,47,2,5,4,126,306,No,36
CUS0x5e80,83.0,Active,1886.16,190.0,05/17/2020 01:28 PM,0,4,4,4,37,115,Yes,56
CUS0x7da4,22.0,Passive,2079.1,183.31,06/16/2019 06:57 PM,12,4,4,5,22,39,No,52
CUS0x5a34,156.0,Passive,1293.15,250.95,02/18/2019 01:19 PM,53,4,4,4,132,214,No,48
CUS0x24b8,82.0,Active,770.2,261.0,02/28/2020 11:25 AM,38,,3,4,42,116,No,36
CUS0x4d48,151.0,Inactive,3070.41,127.66,07/18/2016 03:10 PM,39,,,4,106,214,No,44
CUS0x4c19,,Active,2082.41,286.36,01/27/2020 11:42 PM,,4,4,2,41,274,No,43
CUS0x6e7d,148.0,Active,2670.88,224.97,01/26/2021 02:43 PM,44,4,3,4,48,208,Yes,57
CUS0xd4e,,,1588.81,202.0,04/19/2016 10:09 PM,10,4,4,3,75,92,0,22
CUS0x6b0c,246.0,Passive,3533.66,256.85,01/10/2019 06:18 AM,45,4,1,5,77,346,No,39
CUS0x3ca4,64.0,Active,2141.92,166.0,02/08/2020 01:59 AM,46,4,4,4,59,80,No,58
CUS0x236f,244.0,Passive,2330.19,109.12,,49,4,2,4,70,303,No,45
CUS0x25ff,76.0,Active,2088.58,151.0,01/06/2021 01:35 PM,,,4,4,76,107,No,-99
CUS0x286,55.0,,660.61,103.0,03/30/2020 02:12 PM,28,,3,4,51,76,No,29
CUS0x317f,168.0,Active,1958.9,280.26,08/26/2020 09:50 PM,,4,4,3,168,278,No,33
CUS0x74c,158.0,Active,1956.84,112.45,11/18/2020 06:04 PM,17,5,4,4,129,251,No,43
CUS0x15cc,81.0,0,1420.87,275.0,,29,4,4,4,81,116,0,22
CUS0x33da,,,1094.52,254.79,08/28/2019 02:52 AM,24,4,4,4,83,314,No,32
CUS0x69b,186.0,,3653.83,302.42,04/12/2017 08:35 AM,4,4,5,4,110,283,No,46
CUS0x2deb,43.0,,2779.26,227.01,02/03/2018 07:22 AM,0,,4,4,43,56,No,52
CUS0x7e62,13.0,Inactive,2350.26,227.13,07/13/2017 12:26 AM,13,4,4,4,13,33,No,24
CUS0x36b0,103.0,Passive,2374.07,207.67,,16,,4,4,103,169,0,43
CUS0x4bc8,164.0,Active,3032.07,91.83,08/06/2020 10:35 AM,52,3,,4,117,259,No,39
CUS0x51a7,17.0,Passive,458.08,83.73,11/07/2019 03:48 AM,2,3,4,3,17,52,No,23
CUS0x1189,71.0,Inactive,847.37,-99.0,06/04/2017 05:00 AM,19,4,3,4,71,99,No,28
CUS0x1de0,47.0,,3439.51,-99.0,08/14/2017 07:12 AM,,5,4,2,47,64,No,30
CUS0x74c0,118.0,Passive,1597.13,126.03,12/05/2019 12:55 AM,25,4,4,4,54,188,No,37
CUS0x12c6,63.0,Passive,2542.29,131.0,,40,4,4,5,63,92,0,34
CUS0x1f94,109.0,Active,2017.34,279.11,05/17/2020 05:33 PM,52,2,4,4,44,154,No,44
CUS0x2921,,Passive,3111.87,150.96,10/06/2018 07:31 AM,33,4,4,4,28,224,0,35
CUS0x44f6,,Inactive,1049.57,189.0,,0,,4,3,34,87,No,28
CUS0x3297,223.0,Inactive,759.52,221.96,08/22/2015 05:19 AM,53,4,3,4,81,264,No,41
CUS0x24a8,,Inactive,1577.63,278.72,12/02/2017 09:42 AM,,4,4,4,93,284,No,49
CUS0x15fc,85.0,Inactive,482.02,250.0,06/16/2017 07:41 AM,23,4,4,4,85,106,Yes,26
CUS0x1551,,Inactive,2280.52,169.76,05/28/2017 09:09 AM,32,4,4,3,35,62,No,25
CUS0x5ba7,71.0,Passive,1199.51,242.0,12/07/2018 08:15 AM,4,4,2,4,71,103,No,20
CUS0x7dde,94.0,Passive,767.97,85.0,03/25/2018 06:22 AM,56,4,3,4,67,106,No,41
CUS0x738a,95.0,Passive,2392.63,196.0,07/07/2018 07:33 AM,2,3,5,4,95,116,No,44
CUS0x6fb9,210.0,Inactive,1797.49,223.82,02/02/2016 06:03 PM,21,4,4,3,24,287,Yes,46
CUS0x26cb,234.0,Active,3389.53,-99.0,05/26/2020 05:39 PM,13,4,3,4,106,311,No,39
CUS0x24c1,120.0,Passive,850.87,207.37,01/19/2019 12:41 AM,25,3,4,3,104,189,Yes,59
CUS0x2f00,,Active,659.34,256.0,,5,4,4,4,66,307,No,35
CUS0x746a,47.0,Inactive,1615.35,114.83,01/21/2017 10:57 AM,17,4,5,4,47,72,No,34
CUS0x22b2,229.0,Inactive,829.93,92.08,06/01/2015 08:23 AM,36,4,4,3,32,294,No,38
CUS0x3211,234.0,Passive,3628.12,224.48,12/01/2018 03:57 PM,,4,4,5,50,340,No,48
CUS0x4945,238.0,Passive,708.11,276.84,,57,4,5,2,141,336,No,48
CUS0x275d,37.0,Inactive,2833.37,134.18,,37,2,3,5,37,58,Yes,32
CUS0xd77,93.0,Inactive,1106.16,267.0,11/17/2017 10:09 PM,59,3,4,5,93,126,No,25
CUS0x423f,,Passive,1354.57,-99.0,07/03/2018 12:44 AM,31,5,3,2,37,66,No,48
CUS0x6558,141.0,Passive,3536.56,112.85,09/15/2019 02:02 AM,29,4,5,5,102,182,No,33
CUS0x6729,84.0,Active,2177.61,261.0,03/01/2020 04:04 PM,58,4,5,2,84,119,No,54
CUS0x40f,234.0,Passive,3068.77,203.79,,45,4,5,2,121,298,No,43
CUS0x18b7,237.0,Passive,3404.3,169.68,05/26/2019 09:59 AM,55,2,4,4,159,350,No,34
CUS0x1a39,84.0,Passive,2469.83,101.0,,,3,4,4,84,97,No,44
CUS0x4ba0,62.0,Active,803.15,218.0,09/15/2020 05:53 AM,35,4,4,4,29,82,No,41
CUS0x3c2b,70.0,Inactive,1855.67,-99.0,,,,3,4,70,89,No,21
CUS0x3f87,169.0,Inactive,3137.66,341.31,,12,4,2,4,111,254,No,46
CUS0x5110,240.0,Inactive,1425.19,207.79,04/27/2016 07:24 PM,33,3,4,5,154,350,Yes,51
CUS0x481f,15.0,Passive,2509.91,154.07,01/25/2019 10:12 AM,15,3,4,3,15,30,No,45
CUS0x4a05,71.0,Passive,1152.53,79.0,11/07/2019 02:09 AM,2,4,4,4,60,100,No,41
CUS0x1929,28.0,Passive,2018.2,193.37,02/26/2018 03:16 PM,28,,3,2,28,53,No,42
CUS0x4cca,108.0,Passive,1707.08,-99.0,12/15/2019 03:57 PM,42,5,4,4,108,178,No,43
CUS0x52ce,118.0,Passive,858.71,321.94,05/06/2018 09:18 PM,40,4,4,3,66,215,Yes,54
CUS0x4d9a,201.0,Passive,2413.88,109.82,12/19/2019 07:00 AM,46,3,4,3,56,319,Yes,47
